name,brand,kcal_per_100g,serving_g,per_serving_kcal
BURSTIN' BUFFALO STYLE CHICKEN,HUNGRY-MAN,239,255,609.5
"ORIENTAL STYLE NOODLE WITH SOUP BASE, ORIENTAL STYLE","CHOUNGSOO FOOD CO.,LTD",308,180,554.4
Radix Nutrition Ultra Grass-Fed Turkish Lamb 139g,RADIX NUTRITION LIMITED,254,314,797.6
"CHICKEN POT PIE MEAT FILLING AND CRUST, CHICKEN","Taylor Fresh Foods, Inc.",217,254,551.2
"ORGANIC & RAW KOMBUCHA, MULTI-GREEN",MILLENNIUM PRODUCTS,438,240,1051.2
"Omg...it's Gluten Free, Spinach Lasagna",Omg...It's Gluten Free,168,340,571.2
Spinach-Artichoke Dip,Olive Garden,371.79,312,1160
"PROSCIUTTO RATATOUILLE RISOTTO WITH PARMESAN AND SUN-DRIED TOMATOES MEAL KITS, PROSCIUTTO RATATOUILLE RISOTTO",Relish Labs LLC,149,390,581.1
"ICED JUMBO HONEY BUN, HONEY","Hostess Brands, LLC",422,135,569.7
Lattini Sunflower Milk Original - 32oz,Lattini,80,946,756.8
"PEPPERONI PIZZA ROLL-UPS + MARINARA SAUCE MOZZARELLA CHEESE & PEPPERONI SLICES ROLLED IN A FLOUR TORTILLA WITH MARINARA SAUCE, PEPPERONI PIZZA ROLL-UPS + MARINARA SAUCE",Rich Products Corporation,304,194,589.8
"Marie Callenders Peanut Butter Cream Pie, 28 Oz",Marie Callender's,470,132,620.4
"MATCHA GINGER 20MG HEMP CBD FOCUS WELLNESS SHOT, MATCHA GINGER","Navitas, LLC",1200,75,900
"CHICKEN BREAST WITH RED WINE BORDELAISE AND PARMESAN COTTAGE FRIES WITH ROASTED ASPARAGUS MEAL KITS, CHICKEN BREAST WITH RED WINE BORDELAISE",Relish Labs LLC,113,467,527.7
"DINNER SAUCE, CHICKEN","Aqualink Nevada, LLC",528,112,591.4
"SUPREMUS MAXIMUS SUPREME PEPPERONI & ITALIAN SAUSAGE, PIZZA SAUCE & BLACK OLIVES, GREEN & RED PEPPERS, ONIONS, MOZZARELLA & PROVOLONE CHEESES WRAPPED IN AN ARTISAN DOUGH STROMBOLI, SUPREMUS MAXIMUS SUPREME",SCREAMIN' SICILIAN PIZZA CO.,305,262,799.1
"CHICORY ORGANIC HERBAL TEA, DANDELION COCONUT",TEECCINO,238,240,571.2
"BACON, EGG, CHEESE BISCUIT, BACON, EGG, CHEESE","Sun Company, Inc. (R&M)",294,170.1,500.1
Scary Face Pancake,IHOP,300,200,600
AUTHENTIC SMITH ISLAND CAKE,SMITHISLAND CAKE COMPANY,431,130,560.3
"Bistro Everything Bagel With Egg, Sausage, Cheddar Cheese and Bacon",7 Select,338,201,679.4
Grilled Shrimp on the Barbie Appetizer,Outback Steakhouse,329.41,170,560
HERRING FILLETS IN OIL LIGHTLY SMOKED,"Transnational Foods, Inc.",353,170,600.1
"CHEESEBURGER, BACON",AdvancePierre Foods Inc.,291,179,520.9
French Dip Sandwich,,220,250,550
"ICED JUMBO HONEY FLAVORED BUN WITH VANILLA ICING, HONEY, VANILLA","Hostess Brands, LLC",415,135,560.3
Garlic Chicken + Veggie Pita,Cava,282.14,280,790
"ORGANIC UNFILTERED SPARKLING PROBIOTIC DRINK WITH PEAR GINGER, PEAR GINGER",MILLENNIUM PRODUCTS,312,480,1497.6
DOUBLE CHOCOLATE CAKE,Yumbana LLC,348,198,689
Chicken Al Pastor Quesadilla,Chipotle Mexican Grill,255.56,450,1150
Fiesta Lime Chicken,Applebee's,260,450,1170
"Reishi Chocolate With Coconut Milk, 12 fl oz",Rebbl,180,355,639
Beef and Guinness Pie,,193.33,300,580
Classic Blue Cheese Wedge Side Salad,Outback Steakhouse,265,200,530
"PEPPERONI DIPPING STRIPS PIZZA, PEPPERONI",Nestle USA Inc.,253,277,700.8
Totino's Sausage Party Pizza,GENERAL MILLS SALES INC.,228,306,697.7
"Mediterranean Veggie Sandwich, Whole",Panera Bread,201.92,312,630
Flax seeds,,545,168,915.6
"P.F. Chang's Home Menu Meals for 2, Honey Chicken Skillet Meal, 22 Oz, 22 OZ",Conagra Brands,179,312,558.5
"SmokeShack, Triple",Shake Shack,236.96,460,1090
Reese's Puffs Peanut Butter and Chocolate Whole Grain Breakfast Cereal,GENERAL MILLS SALES INC.,430,162,696.6
"GUYLIAN, HAZELNUT PRALINE FILLED CHOCOLATE HEARTS",GUYLIAN,550,100,550
Turkey & Bacon Cobb Wrap,Kroger,248,383,949.8
Black Angus Pub Style Beef,Great Value,260,227,590.2
Cavatappi Pasta Salad,Pics,411,124,509.6
"FRESH GUAVA PREMIUM ICE CREAM IN SWEET RICE DOUGH, FRESH GUAVA",The Mochi Ice Cream Company,236,258,608.9
HOMESTYLE MEATLOAF,GROCERY DELIVERY E-SERVICES USA INC.,114,484,551.8
