name,brand,kcal_per_100g,serving_g,per_serving_kcal
Corn Chex Gluten Free Breakfast Cereal,GENERAL MILLS SALES INC.,390,162,631.8
Cinnamon Toast Crunch Whole Grain Breakfast Cereal,GENERAL MILLS SALES INC.,410,164,672.4
"BEEFY MEATBALLS & SPAGHETTI BOWL, BEEF, SPAGHETTI","Dierberg's Markets, Inc.",141,412.8,582
CUPCAKE,FRESH & EASY BAKERY,422,128,540.2
Grilled Chicken Sandwich,Jack in the Box,176.68,283,500
"ROOT BEER SPARKLING PROBIOTIC TEA, ROOT BEER","LIVE Soda, LLC",292,360,1051.2
"PB MALLOW MANIA PEANUT BUTTER ICE CREAM; PEANUT BUTTER AND MARSHMALLOW SWIRLS; PEANUTS; CHOCOLATY PEANUT BUTTER AND MARSHMALLOW BUNNIES LOAD'D SUNDAES, PB MALLOW MANIA","Wells Enterprises, Inc.",322,180,579.6
Ziti,Taylor Farms,235,340,799
"LITTLE DEBBIE, CRUNCH MINI DONUTS",McKee Foods Corporation,398,128,509.4
Cinnamon Spice Fiber Thins,Meta Mucil,455,264,1201.2
WOK ST SHRIMP VEGGIE LO MEIN P,GENJI,141,416,586.6
"BEER CHEESE MAC WITH SLICED BRATWURST, BEER CHEESE",Nino's LLC,185,340,629
Deluxe McCrispy,McDonald's,220.83,240,530
"CAULIFLOWER MACARONI & CHEESE, CAULIFLOWER",Wakefern Food Corporation,148,454,671.9
"Tayto, Potato Chips, Salt & Vinegar",Martech Enterprises,522,100,522
Chicken Salad Sandwich,Raley's,286,199,569.1
Meaty Mostaccioli,Papa John's Salads & Produce,224,340,761.6
IMPORTED WOOD-FIRED ITALIAN CRUST PIZZA,MIA FRESCA,319,163,520
NITRO COLD BREW COFFEE,RISE BREWING CO.,643,210,1350.3
PASTA PRIMAVERA WITH MARINARA FAMILY MEAL,WHOLE FOODS MARKET,233,240,559.2
French Toast Sticks,Sonic Drive-In,445.31,128,570
Italian Style Salami & Ham Wrap,Hannaford,268,194,519.9
Son of Baconator,Wendy's,300,220,660
"16 Whole Wheat Self-Rising Four Cheese Pizza Topped with Robust Tomato Sauce, Mozzarella, White Cheddar, Romano, and Parmesan Cheese",Nardone Brothers Baking Co.  Inc.,477,195.1,930.6
Ghost Pepper Whopper,Burger King,282.76,290,820
"WOLF, CHILI, NO BEANS, WOLF, CHILI, NO BEANS","Conagra Brands, Inc.",164,311,510
Cheesy Italian Shells Hamburger Helper Twin Pack,GENERAL MILLS SALES INC.,350,180,630
"BAKED ZITI HEARTY ZITI PASTA IN A SEASONED CHUNKY TOMATO & BEEF SAUCE TOPPED WITH REAL MOZZARELLA CHEESE, BAKED ZITI",Nestle Usa-Frozen Food Division,115,453,521
"CARNE ADOVADA PORK & POTATO BURRITO, CARNE ADOVADA PORK & POTATO","Villalobos Mexican Food Distributors, LLC",279,226,630.5
SPICY RED HOT BEEF & BEAN BURRITO,EL MONTEREY,255,255,650.3
"KFC Chicken Sandwich, Spicy",KFC,295.24,210,620
Time Outs,Seapak,289,194,560.7
Liver Dumpling Soup,,286,250,715
"GNOCCHI BOLOGNESE TENDER POTATO GNOCCHI TOSSED IN A FLAVORFUL BOLOGNESE SAUCE MADE WITH TENDER GROUND BEEF & IMPORTED ITALIAN TOMATOES, TOPPED WITH PARMESAN CHEESE, GNOCCHI BOLOGNESE","Nowco International, Inc.",171,415,709.6
"COOKIES'N CREME FLAVORED TINY PIES, COOKIES'N CREME","Wal-Mart Stores, Inc.",460,113,519.8
HAND MADE BEEF & BEAN JUMBO BURRITO,REYNALDO'S,240,283,679.2
Rainbow Sushi Set,Gemji,159,352,559.7
AUTHENTIC ITALIAN LASAGNA,"Ukrop's Homestyle Foods, LLC",173,323,558.8
ELBOW MACARONI SALAD,"Big Y Foods, Inc.",393,140,550.2
The Bloomin’ Burger,Outback Steakhouse,670.59,170,1140
"BERTOLLI, ITALIAN SAUSAGE & RIGATONI CLASSIC MEAL","Mizkan America, Inc.",150,340,510
Tuscani Veggie Pasta,Pizza Hut,235.29,272,640
"Stickball Special (Cold Sub #11), Regular",Jersey Mike's Subs,216.25,400,865
Aluminum Cans,POLAR BEVERAGES,167,360,601.2
Egg and Cheese Biscuit,,326.53,196,640
"CORNED BEEF ON RYE SHAVED LEAN CORNED BEEF, SWISS CHEESE, AND THIN SLICED DILL PICKLES ON TWO SLICES OF DESI STYLE MARBLE RYE LIGHTLY SMEARED WITH A SAVORY BISTRO SAUCE SANDWICHES, CORNED BEEF ON RYE",Cumberland Farms Dairy Inc,274,288,789.1
"PIZZA, BESSIE'S REVENGE CHEESE",Palermo Villa Inc.,233,258,601.1
CHICKEN ALFREDO,"Taylor Fresh Foods, Inc.",139,397,551.8
"Pumpkin Smash Smoothie, Large",Jamba,61.59,828,510
"Beef Bites, Cheddar & Monterey Jack Cheese",Renaissance Food Group,394,170,669.8
Sesame Football Sticks,Bergin Nut Company,540,100,540
"PEPPERONI MADE WITH PORK, CHICKEN & BEEF TRADITIONAL CRUST PIZZA, PEPPERONI",Nestle USA Inc.,283,265,750
CHICKEN CAESAR WRAP,ARCHER FARMS,259,255,660.5
"CHICKEN CAESAR WRAP WITH WHITE-MEAT CHICKEN, PROVOLONE & PARMESAN CHEESE IN A GARDEN VEGETABLE TORTILLA",Target Stores,275,244,671
Bacon Cheeseburger Mac and Cheese,7 Select,238,332,790.2
"GT'S, SYNERGY, ORGANIC RAW KOMBUCHA, CLASSIC, SUPERFRUITS, SUPERFRUITS",MILLENNIUM PRODUCTS,438,240,1051.2
Chili Cheese Fries,,228,250,570
16Whole Wheat Self-Rising Four Cheese Turkey Pepperoni Pizza,Nardone Brothers Baking Co.  Inc.,355,154.5,548.5
Semi-Freddo,,300,238,714
Traditional Macaroni & Chesse,Papa John's Salads & Produce,284,190,539.6
Momma’s French Toast Breakfast,Cracker Barrel,178.33,600,1070
Oldtimer with Cheese,Chili's Grill & Bar,254.29,350,890
Aussie Fries,Outback Steakhouse,294.12,170,500
"PAPAYA + MANGO + PINEAPPLE INFUSED WATER, PAPAYA + MANGO + PINEAPPLE",Killer Brownie Distributing,125,480,600
Asam Pedas,,125,400,500
DOUBLE PEPPERONI THIN CRUST PIZZA,The Kroger Co.,311,167,519.4
Thai-style Chicken Fried Rice,Ling Ling,173,312,539.8
FRUIT & CHEESE SNACK BOX,Target Stores,401,142,569.4
MONTE CRISTO FRENCH TOASTED OLD FASHIONED WHITE,Triple 'B' Corporation,285,312,889.2
"MAPLE NITRO COLD BREW COFFEE, MAPLE",Kings Row Coffee LLC,240,225,540
Mofongo with Chicken,,257.11,450,1157
"BERTOLLI Italian Sausage Torta Pie, 60 OZ",Conagra Brands,251,283,710.3
Gumbo with Chicken and Sausage,,126,500,630
"Sausage, Egg & Cheese McGriddles",McDonald's,366.67,150,550
"SAM'S CHOICE, PERSONAL DOUBLE PEPPERONI PIZZA","Wal-Mart Stores, Inc.",285,235,669.8
"COLA KOMBUCHA SPARKLING PROBIOTIC TEA, COLA","LIVE Soda, LLC",292,360,1051.2
"NESTLE, SMARTIES, FESTIVE SHARING BLOCK CHOCOLATE",Discover Images Incorporated,530,100,530
Stuffed Ziti Fritta,Olive Garden,294.12,170,500
Mediterranean Bowl,Urban Remedy,173,312,539.8
"BONELESS FRIED TENDER WHITE CHICKEN PATTY AND HAM, RANCH SEASONED MASHED POTATOES, HONEY BOURBON SAUCE, CORN AND AN APPLE CRANBERRY DESSERT, BONELESS FRIED CHICKEN AND HAM",Pinnacle Foods Group LLC,148,454,671.9
"GINGER NETTLE, KOMBUCHA, GINGER NETTLE","Michtron, Inc.",375,240,900
Miso Glazed Salmon Plate,Sweetgreen,173.83,535,930
"KOMBUCHA, DREAMY ORANGE","Amplify Snack Brands, Inc.",500,240,1200
Cincinnati Chili Omelette,,157.14,350,550
Pecan Pie,Great Value,408,130,530.4
Fruit & Cheese Snack Box,Good & Gather,401,142,569.4
"OLD FASHIONED PECAN PIE, PECAN","Table Talk Pies, Inc.",400,125,500
"CHEESESTEAK WHOLE/PEPPERS, ONIONS CHICKEN & BISCUITS, CHEESESTEAK WHOLE/PEPPERS, ONIONS","Sun Company, Inc. (R&M)",372,311.9,1160.3
Tex-Mex Egg Rolls,,310,300,930
Texas Angus Patty Melt,Waffle House,272,250,680
Four Cheese Wood-fired Crust Pizza,Good & Gather,278,180,500.4
"Campbell's Slow Kettle Style Tomato & Sweet Basil Bisque, 15.5 oz. Tub",CAMPBELL SOUP COMPANY,114,440,501.6
Roasted Teriyaki Chicken Noodle Bowl With Edamame,Home Chef,119,470,559.3
Three Cheese Hamburger Helper Twin Pack,GENERAL MILLS SALES INC.,351,192,673.9
"Peanuts, valencia, oil-roasted, with salt",,589,144,848.2
Imported Wood-fired Italian Crust Pizza,Screamin' Sicilian Pizza Co.,319,163,520
"MUFFIN, CHOCOLATE CHOCOLATE CHIP",International Delights,385,130,500.5
"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",,362,190,687.8
"CHICKEN SIMMERED IN A CREAMY, INDIAN-SPICED TOMATO SAUCE AND SERVED OVER FLUFFY JASMINE RICE MEAL KIT",LOCAL CRATE,158,423,668.3
TURKEY AVOCADO CLUB SANDWICH,Target Stores,248,218,540.6
Tuna Helper Tetrazzini,GENERAL MILLS SALES INC.,356,231,822.4
Radix Nutrition Keto Plant-Based Indian Curry 108g,RADIX NUTRITION LIMITED,170,358,608.6
Chicken Fried Steak and Eggs,,296,500,1480
"Ghost Pepper Wings, 12-piece",Popeyes Louisiana Kitchen,323.81,420,1360
"Traditional Wings, Bone-In, Regular",TGI Fridays,207.35,340,705
Breakfast Quesadilla,Taco Bell,291.43,175,510
"BUTTERNUT SQUASH RAVIOLI BUTTERNUT SQUASH RAVIOLI WITH BROWN BUTTER SAGE SAUCE, BUTTERNUT SQUASH RAVIOLI","Wal-Mart Stores, Inc.",188,377,708.8
"UNSWEETENED ORIGINAL ALMONDMILK, UNSWEETENED ORIGINAL","Hy-Vee, Inc.",375,240,900
"SOUTHWEST STYLE CHICKEN WRAP WITH BUFFALO STYLE CHICKEN, PICO DE GALLO, BLACK BEANS, PEPPER JACK CHEESE AND CREAM CHEESE, SOUTHWEST STYLE","Renaissance Food Group, LLC",208,255,530.4
"ALMOND-MILK, UNSWEETENED ORIGINAL","The Fresh Market, Inc.",375,240,900
"Pepperoni, NFS",,504,251,1265
Kitsune Udon,,106,500,530
Pork Skinless Fatback MBG#410CPSO1,Seaboard Foods LLC,795,112,890.4
Black Tie Mousse Cake,Olive Garden,441.18,170,750
Triple Chocolate,Snow Days,425,127,539.8
"CHORIZO SKILLET CHORIZO WITH SEASONED POTATOES, BELL PEPPERS, AND ONIONS, CHORIZO SKILLET",Nestle USA Inc.,209,244,510
"COUNTRY FRIED BEEF STEAK FRITTER IN GRAVY, MASHED POTATOES, CORN AND AN APPLE DESSERT, COUNTRY FRIED STEAK",Pinnacle Foods Group LLC,117,454,531.2
"Cornmeal, degermed, enriched, white",,370,157,580.9
"BARCELONA VINAIGRETTE GRAIN BOWL, BARCELONA VINAIGRETTE",Rafael Padilla & Cia S. En C.,182,330,600.6
PIE,Mrs Redd's Pie Co,391,128,500.5
"INDIAN BUTTER CHICKEN WITH JASMINE RICE MEAL KIT, INDIAN BUTTER CHICKEN WITH JASMINE RICE",CIY Foods Inc,154,403,620.6
HAND MADE CALZONE CHEESESTEAK,"Clinical Creations, LLC",247,227,560.7
MUGHLAI KOFTA CURRY WITH PEAS PULAO,Peach Records Associates LLC,161,350,563.5
Caramel Apple Cobbler,,390,150,585
"Royal Reese's Fluffernutter Blizzard, Large",Dairy Queen,193.28,595,1150
Mantecadas Vanilla Muffins With Chcolate Chip,Bimbo,432,315,1360.8
"CRANBERRY, BLUEBERRY AND RASPBERRY FLAVORED JUICE BEVERAGE WITH 2 OTHER JUICES FROM CONCENTRATE, CRANBERRY, BLUEBERRY AND RASPBERRY","Ocean Spray Cranberries, Inc.",667,180,1200.6
"INCAGEN, QUINUA",Peruvian Import Company,368,170,625.6
"CARROT CAKE SINGLE, CARROT",Raley's,570,142,809.4
Mac and Cheese,Marketside,198,454,898.9
"NEW ENGLAND STYLE CLAM CHOWDER, NEW ENGLAND STYLE","Safeway, Inc.",134,425,569.5
"SPINACH ARTICHOKE MIXED VEGETABLES WITH CAVATAPPI PASTA IN A CREAMY PLANT-BASED CHEEZE SAUCE CAVATAPPI, SPINACH ARTICHOKE","Conagra Brands, Inc.",181,304,550.2
"Hand Made Soy Chorizo, Bean & Potato Burrito",Reynaldo's,191,283,540.5
"Peanuts, virginia, oil-roasted, without salt",,578,143,826.5
VIETNAMESE BEEF MEATBALLS,Dominick's Finer Foods,165,468,772.2
CHOCOLATE SPREAD,BRINKERS,560,100,560
"Cheese spread, cream cheese",,295,240,708
"Nuts, almonds, oil roasted, lightly salted",,607,157,953
Pannenkoeken with Cheese,,226.89,238,540
BK Stacker Triple,Burger King,441.94,310,1370
DECORATED BELGIAN CHOCOLATE,CHOC'TALES,558,100,558
EGG SALAD CROISSANT,GRETCHEN'S SHOEBOX EXPRESS,278,198,550.4
MEXICAN STYLE FIESTA,Pinnacle Foods Group LLC,141,454,640.1
Minis Vanilla,Snickers,376,250,940
VANILLA CUPCAKE,Arruda's Dairy Farms,391,156,610
Spicy Lamb + Avocado Bowl,Cava,169.15,470,795
"WATERMELON BASIL SHRUB SODA, WATERMELON BASIL","Asheville Kombucha Mamas, LLC",438,240,1051.2
Chicken Al Pastor Bowl,TGI Fridays,145.23,482,700
General Mills Mermaid Cereal,GENERAL MILLS SALES INC.,385,162,623.7
"AMISH STYLE MACARONI SALAD, AMISH STYLE","Ahold USA, Inc.",407,140,569.8
Country Ham Dinner,Waffle House,181.43,350,635
Shipwreck Kelly Sandwich,Good To Go Fresh,218,312,680.2
GRANDE BEEF BARBACOA BURRITO,Krause Gentle Corporation,165,351.5,580
"Chipotle Cheese Steak (Cheesesteak #43), Wrap",Jersey Mike's Subs,285.71,350,1000
O Organics Organic Milk Reduced Fat 2% Ultra Pasteurized - 12 Fl. Oz.,O Organics,180,340.2,612.4
"Frostings, white, fluffy, dry mix, prepared with water",,244,315,768.6
"Fast foods, fish sandwich, with tartar sauce",,257,220,565.4
"Pork, fresh, composite of separable fat, with added solution, raw",,508,113,574
Taramosalata,,294.12,238,700
CHICKEN CAESAR WRAP,Triple 'B' Corporation,231,255,589
"STACKED CHICKEN GRILLED CHICKEN THIGHS & CHEESE LAYERED BETWEEN MIXLA TORTILLAS & TOPPED WITH ROASTED CHILE SAUCE ENCHILADAS, STACKED CHICKEN",H E Butt Grocery Company,206,340,700.4
"TURKEY AND CHEESE SUB, TURKEY AND CHEESE","Meijer, Inc.",228,312,711.4
FRUIT PUNCH,Harvest Hill Beverage Company,667,180,1200.6
Deep-Fried Mars Bar,,308.82,170,525
"STRAWBERRY LEMONADE KOMBUCHA, STRAWBERRY LEMONADE","Buddha's Brew, LLC",625,240,1500
"Sorghum flour, refined, unenriched",,357,161,574.8
"Seeds, sunflower seed kernels, dry roasted, with salt added",,582,128,745
Chicken Alfredo With Cavatappi Pasta,Fresh Foods Market,235,340,799
Pork Roll and Macaroni Salad,,256.04,207,530
"SPAGHETTI & MEATBALLS BEEF AND PORK MEATBALLS BLENDED WITH CHEESE MICROWAVE-SAFE TRAY, SPAGHETTI & MEATBALLS","Wal-Mart Stores, Inc.",158,398,628.8
Inihaw na Liempo,,300,238,714
HAM PINWHEELS,"Renaissance Food Group, LLC",192,276,529.9
Fish and Chips Combo,,277.78,450,1250
"Mayonnaise, reduced fat,  with olive oil",,361,220,794.2
"NEW YORK STYLE CHEESECAKES, NEW YORK STYLE","Winn-Dixie Stores, Inc.",352,210,739.2
